Use Case Scenario #07: CBRN dispersion in atmoshphere - Evacuation,,,,,,
"Factors
(Each Line Represents a different scenario)",,,,,,Decision
No.,"Area Covered 
Sq. Km. ",Est. People (impacted),"Wind Speed
(Bft)",Type of Hazard,Exposure Level,Evacuation?
142,Medium: 0.5-1 Sq. Km,High: >3000,Low: 0-5 Bft,High,Low,Yes
143,Medium: 0.5-1 Sq. Km,High: >3000,Low: 0-5 Bft,High,Medium,Yes
144,Medium: 0.5-1 Sq. Km,High: >3000,Low: 0-5 Bft,High,High,Yes
145,Medium: 0.5-1 Sq. Km,High: >3000,Medium: 5-8 Bft,Low,Low,Yes
146,Medium: 0.5-1 Sq. Km,High: >3000,Medium: 5-8 Bft,Low,Medium,Yes
147,Medium: 0.5-1 Sq. Km,High: >3000,Medium: 5-8 Bft,Low,High,Yes
148,Medium: 0.5-1 Sq. Km,High: >3000,Medium: 5-8 Bft,Medium,Low,Yes
149,Medium: 0.5-1 Sq. Km,High: >3000,Medium: 5-8 Bft,Medium,Medium,Yes
150,Medium: 0.5-1 Sq. Km,High: >3000,Medium: 5-8 Bft,Medium,High,Yes
151,Medium: 0.5-1 Sq. Km,High: >3000,Medium: 5-8 Bft,High,Low,Yes
152,Medium: 0.5-1 Sq. Km,High: >3000,Medium: 5-8 Bft,High,Medium,Yes
153,Medium: 0.5-1 Sq. Km,High: >3000,Medium: 5-8 Bft,High,High,Yes
154,Medium: 0.5-1 Sq. Km,High: >3000,High: > 8 Bft,Low,Low,Yes
155,Medium: 0.5-1 Sq. Km,High: >3000,High: > 8 Bft,Low,Medium,Yes
156,Medium: 0.5-1 Sq. Km,High: >3000,High: > 8 Bft,Low,High,Yes
157,Medium: 0.5-1 Sq. Km,High: >3000,High: > 8 Bft,Medium,Low,Yes
158,Medium: 0.5-1 Sq. Km,High: >3000,High: > 8 Bft,Medium,Medium,Yes
159,Medium: 0.5-1 Sq. Km,High: >3000,High: > 8 Bft,Medium,High,Yes
160,Medium: 0.5-1 Sq. Km,High: >3000,High: > 8 Bft,High,Low,Yes
161,Medium: 0.5-1 Sq. Km,High: >3000,High: > 8 Bft,High,Medium,Yes
162,Medium: 0.5-1 Sq. Km,High: >3000,High: > 8 Bft,High,High,Yes
163,High: > 1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low,Low,Yes
164,High: > 1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low,Medium,Yes
165,High: > 1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Low,High,Yes
166,High: > 1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium,Low,Yes
